area	type	category	lat	lon
centro	commerciale	farmacia	45.4690454	9.1993136
centro	commerciale	ristorante	45.4595036	9.1810219
centro	commerciale	banca	45.4590758	9.177718
centro	commerciale	fermata bus tram	45.4623606	9.2001899
centro	commerciale	fermata bus tram	45.4623287	9.2005643
centro	commerciale	bar	45.4723347	9.1874378
centro	commerciale	ristorante	45.4729445	9.1872108
centro	commerciale	bar	45.4726047	9.1875364
centro	commerciale	ristorante	45.4725183	9.187425
centro	commerciale	ristorante	45.4726185	9.1875413
centro	commerciale	bar	45.4728161	9.1873577
centro	commerciale	telefono pubblico	45.4730738	9.1877863
centro	commerciale	ristorante	45.4728755	9.1947871
centro	commerciale	monumento	45.4710424	9.1997668
centro	commerciale	gelataio	45.4583382	9.1782702
centro	commerciale	ristorante	45.4578634	9.1772074
centro	commerciale	telefono pubblico	45.4701216	9.1929534
centro	commerciale	farmacia	45.4744122	9.1882917
centro	commerciale	banca	45.4726006	9.1948031
centro	commerciale	fermata bus tram	45.4718886	9.1955478
centro	commerciale	monumento	45.4729866	9.1958876
centro	commerciale	bar	45.4733904	9.1951551
centro	commerciale	telefono pubblico	45.4669819	9.1976213
centro	commerciale	bar	45.4659463	9.1990518
centro	commerciale	ristorante	45.4659512	9.1988089
centro	commerciale	monumento	45.4668592	9.1979572
centro	commerciale	bar	45.4732754	9.1877006
centro	commerciale	ristorante	45.4574305	9.1892911
centro	commerciale	monumento	45.4582147	9.1814089
centro	commerciale	bar	45.4563665	9.1955819
centro	commerciale	banca	45.4567767	9.1845246
centro	commerciale	bancomat	45.456896	9.1845543
centro	commerciale	casella della posta	45.4577119	9.1877257
centro	commerciale	farmacia	45.4568825	9.1873482
centro	commerciale	ristorante	45.4564592	9.1873798
centro	commerciale	monumento	45.4572906	9.1876277
centro	commerciale	acqua potabile	45.4574891	9.1877387
centro	commerciale	taxi	45.4575852	9.1877255
centro	commerciale	taxi	45.4567653	9.1945776
centro	commerciale	fermata bus tram	45.4751603	9.1896317
centro	commerciale	fermata bus tram	45.4742215	9.1932971
centro	commerciale	bar	45.4575138	9.1811174
centro	commerciale	ristorante	45.4628503	9.1992013
centro	commerciale	ristorante	45.4570731	9.1810168
centro	commerciale	bar	45.4656407	9.1991828
centro	commerciale	banca	45.4656595	9.1989575
centro	commerciale	ristorante	45.4593085	9.180993
centro	commerciale	bar	45.4566332	9.180923
centro	commerciale	bar	45.4561666	9.1813628
centro	commerciale	gelataio	45.4574301	9.1811697
centro	commerciale	fast food	45.4577565	9.1814323
centro	commerciale	ristorante	45.4577001	9.180808
